"No.","Time","Source","Destination","Protocol","Length","Info"
"184","1.978501000","fe80::2d17:f638:2788:1ba6","ff02::c","SSDP","179","M-SEARCH * HTTP/1.1 "
"185","1.979305000","10.10.10.91","224.0.0.251","MDNS","136","Standard query response 0x0000  PTR, cache flush priyanka-Inspiron-3542.local A, cache flush 10.10.10.91"
"186","1.985693000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"187","1.987151000","0.0.0.0","255.255.255.255","DHCP","351","DHCP Request  - Transaction ID 0xd66c5f3f"
"188","1.988088000","192.168.0.1","255.255.255.255","DHCP","590","DHCP NAK      - Transaction ID 0xd66c5f3f"
"189","1.989088000","192.168.31.1","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0xd66c5f3f"
"190","1.998137000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"191","2.006183000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"192","2.010074000","fe80::56b8:aff:fe88:fd5c","ff02::1","ICMPv6","78","Router Advertisement from 54:b8:0a:88:fd:5c"
"193","2.017057000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"194","2.024706000","fe80::334e:e0e4:45ec:563d","ff02::fb","MDNS","180","Standard query 0x0000  PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"195","2.025983000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"196","2.034926000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"197","2.039898000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa524c38"
"198","2.044333000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"199","2.053294000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"200","2.055036000","10.10.11.221","224.0.0.251","MDNS","219","Standard query 0x0000  ANY c.c.7.a.9.9.e.f.f.f.b.5.0.3.e.b.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY linux-25.local, ""QM"" question"
